iter	Logloss
0	0.6866226443
1	0.6803986838
2	0.6745621339
3	0.6690526213
4	0.663841016
5	0.6580641455
6	0.6533495585
7	0.6485100975
8	0.6438656873
9	0.6390075691
10	0.6347639882
11	0.6308664345
12	0.6270265736
13	0.6229483705
14	0.6191604942
15	0.6157999617
16	0.6124458197
17	0.609175835
18	0.6064273705
19	0.6035963929
20	0.6011162026
21	0.597192314
22	0.59450808
23	0.5916396597
24	0.5889378005
25	0.5867231669
26	0.5842867253
27	0.5819729868
28	0.5799562768
29	0.5777943872
30	0.5758389692
31	0.5738526219
32	0.5716382538
33	0.5701137662
34	0.5682534156
35	0.5664371052
36	0.5647571851
37	0.5632224215
38	0.5618718763
39	0.559799868
40	0.5581493507
41	0.5565117265
42	0.5546717653
43	0.5535701601
44	0.5524212255
45	0.5511548325
46	0.5500276249
47	0.5483492335
48	0.5471992162
49	0.5465307927
50	0.5453801466
51	0.5441493006
52	0.5432200584
53	0.5422364975
54	0.5410277783
55	0.5400151451
56	0.5391338461
57	0.537744506
58	0.536924484
59	0.5360876899
60	0.5347788854
61	0.5328541977
62	0.5321960158
63	0.5308230248
64	0.5300908752
65	0.5294949079
66	0.5285971872
67	0.527772324
68	0.5265357523
69	0.52566192
