iter	Passed	Remaining
0	143	114629
1	145	58061
2	147	39271
3	150	29854
4	152	24205
5	154	20477
6	156	17746
7	158	15692
8	160	14097
9	162	12829
10	164	11778
11	166	10901
12	167	10167
13	169	9533
14	171	8981
15	173	8514
16	175	8088
17	177	7710
18	179	7374
19	181	7075
20	183	6801
21	185	6567
22	188	6358
23	189	6140
24	192	5963
25	194	5797
26	196	5630
27	198	5478
28	200	5339
29	202	5201
30	204	5073
31	206	4962
32	208	4855
33	210	4751
34	213	4661
35	215	4573
36	217	4486
37	219	4403
38	222	4336
39	224	4265
40	226	4199
41	229	4140
42	231	4075
43	234	4021
44	236	3964
45	238	3910
46	240	3860
47	243	3809
48	245	3761
49	247	3718
50	250	3675
51	252	3634
52	254	3592
53	257	3552
54	259	3518
55	262	3487
56	265	3455
57	268	3431
58	270	3402
59	273	3373
60	276	3346
61	278	3319
62	281	3293
63	284	3267
64	286	3242
65	289	3217
66	292	3194
67	295	3175
68	297	3152
69	300	3129
