feature,gain
h4_atr,220.5555019378662
atr_pct,108.47710943222046
mom_3,69.5222396850586
bb_width,66.55482912063599
fib_dist_618,63.99172902107239
vol_ratio,54.705830574035645
h1_atr,44.43247866630554
atr_percentile,41.17124080657959
fib_range_atr,35.16903269290924
mom_6,29.587909698486328
vol_trend,29.405009269714355
dayofweek,25.68620991706848
asia_range,24.643930196762085
dist_to_asia_low,23.73287343978882
dist_to_asia_high,22.688860177993774
atr,22.052199363708496
h4_adx,12.500179648399353
spread,10.384400367736816
fib_dist_500,10.149970054626465
adx,9.575400352478027
h1_adx,8.931230068206787
is_london,8.298379898071289
plus_di,7.9847798347473145
macd_hist_atr,6.974490165710449
mom_24,6.484540224075317
hour_utc,5.6867899894714355
lower_wick_ratio,4.98475980758667
stoch_d,4.925690174102783
body_ratio,3.8122799396514893
rsi,2.7672901153564453
minus_di,2.5444700717926025
bars_since_choch,0.0
bars_since_bos,0.0
friday_cutoff,0.0
tick_volume,0.0
bb_pct_b,0.0
bos,0.0
choch,0.0
sweep_low,0.0
sweep_high,0.0
is_trading_session,0.0
stoch_k,0.0
mom_accel,0.0
mom_12,0.0
fib_in_golden,0.0
fib_dist_382,0.0
fib_position,0.0
is_bullish,0.0
upper_wick_ratio,0.0
close_position,0.0
macd_cross_up,0.0
macd_cross_dn,0.0
is_uptrend_htf,0.0
htf_alignment,0.0
is_downtrend_htf,0.0
is_ny,0.0
is_asia,0.0
is_buy,0.0
